Test 1: Straight line with top speed followed by stop command (x, y recorded at 10.0 Hz)
[0.0, 0.0;
10.3237229595, 0.145372341648;
10.5328913963, 0.144302802052;
10.7695807725, 0.153767735425;
10.9520717957, 0.161006383986;
11.160460094, 0.160009710266;
11.3441208194, 0.167297583338;
11.5804291569, 0.176521818273;
11.791158208, 0.175378982918;
12.0014973801, 0.174306666925;
12.2141794719, 0.173568238002;
12.4237406454, 0.173249547727;
12.6321311783, 0.17300040707;
12.8377896622, 0.172553889362;
13.0469587646, 0.171623587889;
13.2498833833, 0.170589074045;
13.4430542975, 0.170295308841;
13.6311519332, 0.169948090033;
13.7918352941, 0.175545537161;
13.9871990371, 0.18317357618;
14.1503190728, 0.184031901479;
14.3075836047, 0.185166285344;
14.4578239143, 0.18625000194;
14.6026033764, 0.186870570596;
14.7430909793, 0.187244306788;
14.8757741751, 0.187295240956;
15.0181675695, 0.190912170202;
15.1227112353, 0.193873024174;
15.2370524349, 0.194212518438;
15.3435890324, 0.194424900831;
15.4302008568, 0.196399420422;
15.5331971558, 0.198814368356;
15.6190507644, 0.199013239714;
15.6998313493, 0.199121549188;
15.7829441298, 0.200367955861;
15.8410825626, 0.201334321927;
15.9011799858, 0.201512477413;
15.9487859911, 0.202118006455;
16.0038062709, 0.202799954918;
16.0494632568, 0.203187716446;
16.078340403, 0.203423578389;
16.1044867932, 0.203441579073;
16.1251697586, 0.20345581842;
16.1399990448, 0.203475672846;
16.1485844057, 0.203495543498;
16.1501453777, 0.203500171613;
16.1485844043, 0.203496051132;
16.1478039164, 0.203494498526;
16.1474136722, 0.203493849132;
16.1474136722, 0.203493849132;
16.1474136722, 0.203493849132]

Test 2: Straight line with top speed followed by reverse command
[-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00507303708916, -3.99756098639e-05;
-0.00195110308145, -2.7792632455e-05;
0.00624380685902, 3.35023768942e-05;
0.0159990995397, 0.000160405091926;
0.0362905847192, 0.000384770837337;
0.0682902712519, 0.000540863077919;
0.11667926357, 0.000178969267698;
0.166625240887, -0.000551896950618;
0.220476618692, -0.00105966999762;
0.270817014336, -0.000715934015176;
0.325449747848, -0.000307377608423;
0.403106083364, 0.000298593660176;
0.479964948125, 0.00202315955112;
0.574793129894, 0.00251697682157;
0.667662727077, 0.00124965157075;
0.752297471861, -0.0016118525843;
0.858830091897, -0.00255661918985;
0.96918476817, 0.00176481408255;
1.08575823397, 0.00682344011705;
1.20818158807, 0.0120960314428;
1.35450521447, 0.0144004324711;
1.49108176139, 0.0128232866039;
1.63663102901, 0.010953166243;
1.76655407741, 0.0136719729916;
1.92396007032, 0.0225978905059;
2.08758154637, 0.0321965872949;
2.25509877185, 0.0420238244837;
2.4540714566, 0.0465785014086;
2.63747563689, 0.0445845010059;
2.80286640958, 0.0494986577483;
2.97489168469, 0.0544986251043;
3.20073484629, 0.0615010885857;
3.40814849303, 0.0771139340696;
3.62211308403, 0.0940598527819;
3.86508174138, 0.102706417866;
